Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	37.25689317	5.98	-15.63	-23.2	36.74	-3.586612523	0		0.789555436
MGLU3	12h17	179.7115579	4.21	-3.01	3.02	77.65	-1.906065884			-1.890828655
FLRY3	12h17	22.00874208	3.32	-2.41	6.69	-10.96	-4.797295121			-0.766671192
VVAR3	12h17	7.771227427	3.05	7.07	0	-26.83	1.074738606			4.939656528
IRBR3	12h17	102.1958662	2.83	8.7	25.48	121.51	-4.735871715			-4.701382844
CVCB3	12h17	35.73353929	2.83	-13.59	-19.79	4.06	-4.245793338			-2.424869319
MRVE3	12h17	22.19530385	2.76	17.92	38.43	54.67	1.775910475			1.170950285
BBDC3	12h17	41.47188646	2.73	0.96	11.17	44.71	0.682885814			4.952109697
PCAR4	12h17	98.89070756	2.72	-10.84	7.13	19.01	0.705717194			0.325110748
LREN3	12h17	29.5010587	2.69	0.19	11.67	58.64	-1.241824245			3.585251994
SANB11	12h17	53.16033771	2.54	-0.56	8.34	39.83	-0.099238637			1.296914355
RADL3	12h17	56.23614797	2.54	-2.53	18.23	10.24	3.896618648			-4.168916531
BBDC4	12h17	23.16722161	2.53	0.19	10.9	50.18	3.815486981			-0.61754742
B3SA3	12h17	35.45709812	2.51	3.28	33.48	78.99	-3.64679662			-0.906822693
ITUB4	12h17	39.24110907	2.38	0.37	0.58	26.96	1.930434849			3.940461061
ITSA4	12h17	11.73408468	2.33	-0.5	4.12	26.01	-2.627828524			1.17563115
AZUL4	12h17	39.61116885	2.3	9.68	3.58	38.11	1.005638373			4.706441249
BBAS3	12h17	46.52166626	2.25	4.87	13.65	94.84	-3.809908386			-4.353252469
LAME4	12h17	9.973849162	2.22	-0.57	-20.35	-9.46	2.676988159			-2.996111974
WEGE3	12h17	29.9442531	2.19	0.59	7.3	7.71	4.299179015			2.689021631
BRML3	12h17	7.532629188	2.14	1.42	-4.05	26.38	1.835111085			-0.115242072
TAEE11	12h17	17.7953864	2.02	-0.44	10.73	55.35	4.88268095			-2.822117805
IGTA3	12h17	42.33820452	2.02	1.89	-4.38	26	1.094562907			0.535045788
ENBR3	12h17	22.01329758	1.98	8.91	36.45	52.02	1.240820766			0.102026367
SBSP3	12h17	48.51446031	1.83	-9	35.78	66.61	0.529579454			2.746381747
CSAN3	12h17	52.22288319	1.75	-0.02	40.05	25.03	1.852109985			-4.970120205
SMLS3	12h17	46.06516222	1.68	-5.16	14.01	-10.08	-4.225829966			-3.611914849
EGIE3	12h17	46.50465681	1.62	-4.04	29.3	57.5	3.771899534			-0.162993163
GOLL4	12h17	27.10537168	1.53	13.65	3.15	95.4	2.496954753			2.97539333
RAIL3	12h17	10.62803337	1.42	2.54	9.18	37.28	2.162297171			1.380082263
BRKM5	12h17	44.45547711	1.36	-12.39	-11.65	-8.6	4.842923612			0.148681871
ABEV3	12h17	8.167297821	1.34	-5.52	13.46	-9.1	0.240190846			-4.106447767
MULT3	12h17	16.35449756	1.3	-2.09	-3.03	24.52	1.15711225			2.134626171
BRDT3	12h17	18.46662846	1.26	-1.31	-0.07	58.89	4.987923478			-4.542117952
HYPE3	12h17	44.72873128	1.23	8.12	1.55	16.62	4.754324847			1.21222516
