Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	32.74391948	5.98	-15.63	-23.2	36.74	4.887690019	0		0.789555436
MGLU3	12h17	176.4940449	4.21	-3.01	3.02	77.65	-3.349774233			-1.890828655
FLRY3	12h17	24.62225916	3.32	-2.41	6.69	-10.96	-4.556130284			-0.766671192
VVAR3	12h17	2.920497261	3.05	7.07	0	-26.83	-2.92836597			4.939656528
IRBR3	12h17	104.9843643	2.83	8.7	25.48	121.51	-1.839317128			-4.701382844
CVCB3	12h17	31.89349347	2.83	-13.59	-19.79	4.06	-2.17675332			-2.424869319
MRVE3	12h17	17.24315168	2.76	17.92	38.43	54.67	3.346695066			1.170950285
BBDC3	12h17	42.82319015	2.73	0.96	11.17	44.71	2.487590746			4.952109697
PCAR4	12h17	96.11142027	2.72	-10.84	7.13	19.01	-1.674500878			0.325110748
LREN3	12h17	27.72568536	2.69	0.19	11.67	58.64	4.974937099			3.585251994
SANB11	12h17	48.85402246	2.54	-0.56	8.34	39.83	3.652574487			1.296914355
RADL3	12h17	57.71566206	2.54	-2.53	18.23	10.24	4.890967389			-4.168916531
BBDC4	12h17	18.76052936	2.53	0.19	10.9	50.18	0.035109782			-0.61754742
B3SA3	12h17	32.76928893	2.51	3.28	33.48	78.99	4.359257985			-0.906822693
ITUB4	12h17	34.59571123	2.38	0.37	0.58	26.96	-0.91164343			3.940461061
ITSA4	12h17	14.74789861	2.33	-0.5	4.12	26.01	-3.49603786			1.17563115
AZUL4	12h17	40.23760255	2.3	9.68	3.58	38.11	-2.454214264			4.706441249
BBAS3	12h17	48.44861128	2.25	4.87	13.65	94.84	4.66601974			-4.353252469
LAME4	12h17	14.75658525	2.22	-0.57	-20.35	-9.46	-0.853495944			-2.996111974
WEGE3	12h17	33.06226727	2.19	0.59	7.3	7.71	0.842590393			2.689021631
BRML3	12h17	4.429821524	2.14	1.42	-4.05	26.38	4.998952213			-0.115242072
TAEE11	12h17	13.31760361	2.02	-0.44	10.73	55.35	-1.836902188			-2.822117805
IGTA3	12h17	44.66329519	2.02	1.89	-4.38	26	-4.998274512			0.535045788
ENBR3	12h17	21.69760382	1.98	8.91	36.45	52.02	3.179558134			0.102026367
SBSP3	12h17	44.52764645	1.83	-9	35.78	66.61	4.667891188			2.746381747
CSAN3	12h17	56.596062	1.75	-0.02	40.05	25.03	0.282355882			-4.970120205
SMLS3	12h17	51.04852167	1.68	-5.16	14.01	-10.08	1.738317539			-3.611914849
EGIE3	12h17	45.11876936	1.62	-4.04	29.3	57.5	-4.213587636			-0.162993163
GOLL4	12h17	30.54652145	1.53	13.65	3.15	95.4	0.714028529			2.97539333
RAIL3	12h17	11.98811326	1.42	2.54	9.18	37.28	2.261165677			1.380082263
BRKM5	12h17	43.81611494	1.36	-12.39	-11.65	-8.6	3.416956397			0.148681871
ABEV3	12h17	10.49309729	1.34	-5.52	13.46	-9.1	-3.813995278			-4.106447767
MULT3	12h17	12.80761209	1.3	-2.09	-3.03	24.52	-2.738510631			2.134626171
BRDT3	12h17	15.32678016	1.26	-1.31	-0.07	58.89	-3.147200181			-4.542117952
HYPE3	12h17	46.10762846	1.23	8.12	1.55	16.62	-0.285391898			1.21222516
GOAU4	12h17	6.645920592	1.08	3.05	1.68	8.39	-0.862930445			-4.405231032
VALE3	12h17	56.64409608	1.08	1.26	-0.53	2.2	3.191050036			4.193445151
PETR4	12h17	25.63686549	1.07	-1.88	17.29	63.64	-3.869705703			1.536690524
BBSE3	12h17	26.57163049	1.06	4.74	9.88	22.42	-0.578674919			4.64774752
ELET3	12h17	43.98417291	1.05	3.18	39.25	141	-4.256627642			-3.640252492
KLBN11	12h17	24.22319485	0.97	-5.15	-0.75	-20.32	0.237116212			1.270901521
GGBR4	12h17	13.12469907	0.94	-0.91	-4.75	-3.35	0.777685089			3.184501285
BRAP4	12h17	27.84410593	0.87	0.11	2.87	2.67	-3.845641033			-0.368283005
VIVT4	12h17	53.71711083	0.81	1.96	6.99	18.97	1.292810947			-0.140139957
NATU3	12h17	61.71182224	0.8	18.38	38.18	85.61	-3.92757204			-2.287597011
RENT3	12h17	33.93633238	0.78	3.65	26.49	58.67	-4.976117125			-2.717707012
CCRO3	12h17	8.168122871	0.76	16.17	21.26	39.28	-2.802524739			-0.111396387
CMIG4	12h17	5.789720115	0.73	-3.3	2.84	97.66	2.305167793			-4.791007543
USIM5	12h17	7.120145803	0.73	-3.94	-8.67	0.84	-2.178686789			2.249785602
BRFS3	12h17	31.11619154	0.7	2.16	44.64	44.18	-3.834571178			0.959970064
EQTL3	12h17	74.90711055	0.7	1.74	12.03	40.45	4.43787934			2.743053083
PETR3	12h17	49.45906734	0.63	-3.2	14.25	47.8	-3.52728203			-4.022950193
ELET6	12h17	39.49167357	0.61	0.78	23.96	113.58	-0.433715069			-3.782131516
JBSS3	12h17	24.74959278	0.58	14.53	95.36	139.35	-0.343045794			-4.846641629
SUZB3	12h17	29.96642261	0.49	-15.1	-8.2	-22.31	-3.98217534			-2.398799846
EMBR3	12h17	6.884169078	0.43	-3.77	-12.82	-15.28	-0.511034642			4.10530014
CYRE3	12h17	14.00343973	0.42	-5.23	8.92	52.01	-3.334856594			-1.914651809
CIEL3	12h17	0.259995544	0.41	-5.21	-15.7	-51.7	2.334584491			1.878032535
ESTC3	12h17	46.58626509	0.34	8.35	26.9	31.05	0.412410393			-2.897478353
TIMP3	12h17	14.15315234	0.28	-8.13	-8.18	-14.82	3.018723265			-0.867662127
QUAL3	12h17	20.00385736	0.2	13.78	51.82	9.91	-0.830781752			4.590268635
UGPA3	12h17	4.340869963	0.2	-6.24	-24.99	-14.27	2.793638429			-1.40098665
KROT3	12h17	18.3487571	0.2	3.22	13.73	-4.43	-1.161115979			3.888981729
MRFG3	12h17	8.713962416	0	-3.28	29.67	-12.27	-3.331619446			0.885624636
ECOR3	12h17	11.47344729	-0.55	11.34	-3.73	25.79	-3.501272201			2.721446386
CSNA3	12h17	10.45495913	-1.87	28.87	111.97	154.94	2.68720218			3.484481641
