Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	30.58571259	5.98	-15.63	-23.2	36.74	-4.955399907	0		0.789555436
MGLU3	12h17	184.9659177	4.21	-3.01	3.02	77.65	-3.920259014			-1.890828655
FLRY3	12h17	19.60256573	3.32	-2.41	6.69	-10.96	-2.46825416			-0.766671192
VVAR3	12h17	9.493314831	3.05	7.07	0	-26.83	2.330248286			4.939656528
IRBR3	12h17	106.0661747	2.83	8.7	25.48	121.51	0.14443678			-4.701382844
CVCB3	12h17	40.80234712	2.83	-13.59	-19.79	4.06	-0.748266028			-2.424869319
MRVE3	12h17	12.73869556	2.76	17.92	38.43	54.67	0.213255288			1.170950285
BBDC3	12h17	40.90830138	2.73	0.96	11.17	44.71	-4.248592749			4.952109697
PCAR4	12h17	85.75830648	2.72	-10.84	7.13	19.01	3.407533082			0.325110748
LREN3	12h17	40.81185289	2.69	0.19	11.67	58.64	1.238311151			3.585251994
SANB11	12h17	53.18422459	2.54	-0.56	8.34	39.83	1.742818436			1.296914355
RADL3	12h17	61.30756977	2.54	-2.53	18.23	10.24	-0.603479927			-4.168916531
BBDC4	12h17	31.45351487	2.53	0.19	10.9	50.18	-2.133275613			-0.61754742
B3SA3	12h17	31.74140815	2.51	3.28	33.48	78.99	-3.62320212			-0.906822693
ITUB4	12h17	34.09014373	2.38	0.37	0.58	26.96	1.430097611			3.940461061
ITSA4	12h17	11.47239157	2.33	-0.5	4.12	26.01	-2.798662385			1.17563115
AZUL4	12h17	39.8555567	2.3	9.68	3.58	38.11	0.759864504			4.706441249
BBAS3	12h17	56.17495569	2.25	4.87	13.65	94.84	2.375931735			-4.353252469
LAME4	12h17	11.79803877	2.22	-0.57	-20.35	-9.46	-0.047400414			-2.996111974
WEGE3	12h17	19.43814853	2.19	0.59	7.3	7.71	-0.390102915			2.689021631
BRML3	12h17	15.32334904	2.14	1.42	-4.05	26.38	-1.239991461			-0.115242072
TAEE11	12h17	19.30111218	2.02	-0.44	10.73	55.35	1.802453249			-2.822117805
IGTA3	12h17	31.63621853	2.02	1.89	-4.38	26	-3.794119285			0.535045788
ENBR3	12h17	19.24634333	1.98	8.91	36.45	52.02	3.702388213			0.102026367
SBSP3	12h17	40.61760609	1.83	-9	35.78	66.61	-0.935052185			2.746381747
CSAN3	12h17	48.79650018	1.75	-0.02	40.05	25.03	2.223901462			-4.970120205
SMLS3	12h17	47.29314484	1.68	-5.16	14.01	-10.08	-3.531849793			-3.611914849
EGIE3	12h17	49.05503071	1.62	-4.04	29.3	57.5	-4.390288251			-0.162993163
GOLL4	12h17	30.10399196	1.53	13.65	3.15	95.4	4.925117673			2.97539333
RAIL3	12h17	12.35722695	1.42	2.54	9.18	37.28	1.803137646			1.380082263
BRKM5	12h17	41.26779432	1.36	-12.39	-11.65	-8.6	-2.996527032			0.148681871
ABEV3	12h17	11.10393591	1.34	-5.52	13.46	-9.1	-1.368429127			-4.106447767
MULT3	12h17	25.89575675	1.3	-2.09	-3.03	24.52	-4.236344457			2.134626171
BRDT3	12h17	28.53762955	1.26	-1.31	-0.07	58.89	2.412129632			-4.542117952
HYPE3	12h17	30.14224083	1.23	8.12	1.55	16.62	4.366982365			1.21222516
GOAU4	12h17	5.669144184	1.08	3.05	1.68	8.39	0.124482727			-4.405231032
VALE3	12h17	48.36118915	1.08	1.26	-0.53	2.2	0.649941968			4.193445151
PETR4	12h17	29.15969095	1.07	-1.88	17.29	63.64	-2.516038968			1.536690524
BBSE3	12h17	24.91838056	1.06	4.74	9.88	22.42	-3.932303222			4.64774752
ELET3	12h17	35.63028093	1.05	3.18	39.25	141	-1.525209905			-3.640252492
KLBN11	12h17	14.08843424	0.97	-5.15	-0.75	-20.32	-3.408096408			1.270901521
GGBR4	12h17	14.23723534	0.94	-0.91	-4.75	-3.35	-1.896719585			3.184501285
BRAP4	12h17	34.20714034	0.87	0.11	2.87	2.67	-0.870876252			-0.368283005
VIVT4	12h17	47.5316429	0.81	1.96	6.99	18.97	3.924296789			-0.140139957
NATU3	12h17	66.00448308	0.8	18.38	38.18	85.61	4.500135755			-2.287597011
RENT3	12h17	34.50461953	0.78	3.65	26.49	58.67	-4.616215885			-2.717707012
CCRO3	12h17	8.160936309	0.76	16.17	21.26	39.28	-2.803071553			-0.111396387
CMIG4	12h17	9.321479156	0.73	-3.3	2.84	97.66	3.727581864			-4.791007543
USIM5	12h17	8.271105503	0.73	-3.94	-8.67	0.84	4.035738703			2.249785602
BRFS3	12h17	34.1276212	0.7	2.16	44.64	44.18	-4.910492271			0.959970064
EQTL3	12h17	80.35686624	0.7	1.74	12.03	40.45	4.040230322			2.743053083
PETR3	12h17	37.13779586	0.63	-3.2	14.25	47.8	-2.644599438			-4.022950193
ELET6	12h17	36.99203432	0.61	0.78	23.96	113.58	-2.674886231			-3.782131516
JBSS3	12h17	24.47962367	0.58	14.53	95.36	139.35	-4.511056151			-4.846641629
SUZB3	12h17	35.08374396	0.49	-15.1	-8.2	-22.31	4.447832219			-2.398799846
EMBR3	12h17	15.24218174	0.43	-3.77	-12.82	-15.28	-4.553120424			4.10530014
CYRE3	12h17	18.45522013	0.42	-5.23	8.92	52.01	-0.511681121			-1.914651809
CIEL3	12h17	9.835432131	0.41	-5.21	-15.7	-51.7	-1.644625308			1.878032535
ESTC3	12h17	37.58684672	0.34	8.35	26.9	31.05	4.662767174			-2.897478353
TIMP3	12h17	5.998084703	0.28	-8.13	-8.18	-14.82	3.190150276			-0.867662127
QUAL3	12h17	16.71972613	0.2	13.78	51.82	9.91	1.451209567			4.590268635
UGPA3	12h17	21.29368672	0.2	-6.24	-24.99	-14.27	4.276388353			-1.40098665
KROT3	12h17	14.32441478	0.2	3.22	13.73	-4.43	1.81192369			3.888981729
MRFG3	12h17	7.642633559	0	-3.28	29.67	-12.27	-0.200264933			0.885624636
ECOR3	12h17	17.3966062	-0.55	11.34	-3.73	25.79	1.845682689			2.721446386
CSNA3	12h17	13.15060085	-1.87	28.87	111.97	154.94	1.745183022			3.484481641
