Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	34.94029107	5.98	-15.63	-23.2	36.74	4.929127414	0		0.789555436
MGLU3	12h17	182.5835759	4.21	-3.01	3.02	77.65	3.071726925			-1.890828655
FLRY3	12h17	20.80451029	3.32	-2.41	6.69	-10.96	3.149507483			-0.766671192
VVAR3	12h17	4.97648908	3.05	7.07	0	-26.83	4.403917438			4.939656528
IRBR3	12h17	101.3841356	2.83	8.7	25.48	121.51	4.659401563			-4.701382844
CVCB3	12h17	45.6443972	2.83	-13.59	-19.79	4.06	-3.895053898			-2.424869319
MRVE3	12h17	15.05507477	2.76	17.92	38.43	54.67	-4.955031647			1.170950285
BBDC3	12h17	36.06082778	2.73	0.96	11.17	44.71	-2.306406287			4.952109697
PCAR4	12h17	84.86164521	2.72	-10.84	7.13	19.01	1.733523287			0.325110748
LREN3	12h17	44.02419883	2.69	0.19	11.67	58.64	4.432779514			3.585251994
SANB11	12h17	48.33568744	2.54	-0.56	8.34	39.83	3.557731977			1.296914355
RADL3	12h17	64.92830416	2.54	-2.53	18.23	10.24	-1.810309			-4.168916531
BBDC4	12h17	34.81255011	2.53	0.19	10.9	50.18	-4.510030708			-0.61754742
B3SA3	12h17	33.73471723	2.51	3.28	33.48	78.99	-3.412080412			-0.906822693
ITUB4	12h17	33.88457197	2.38	0.37	0.58	26.96	-1.657970134			3.940461061
ITSA4	12h17	11.3152318	2.33	-0.5	4.12	26.01	-4.366930939			1.17563115
AZUL4	12h17	41.51775051	2.3	9.68	3.58	38.11	4.874144549			4.706441249
BBAS3	12h17	51.71418635	2.25	4.87	13.65	94.84	2.29504673			-4.353252469
LAME4	12h17	12.76385472	2.22	-0.57	-20.35	-9.46	-1.888219663			-2.996111974
WEGE3	12h17	14.54178766	2.19	0.59	7.3	7.71	-0.079077678			2.689021631
BRML3	12h17	16.20483773	2.14	1.42	-4.05	26.38	3.004240093			-0.115242072
TAEE11	12h17	24.09158467	2.02	-0.44	10.73	55.35	4.585286296			-2.822117805
IGTA3	12h17	35.6719016	2.02	1.89	-4.38	26	-1.826331636			0.535045788
ENBR3	12h17	20.60715536	1.98	8.91	36.45	52.02	-2.134764324			0.102026367
SBSP3	12h17	43.73296829	1.83	-9	35.78	66.61	4.287099484			2.746381747
CSAN3	12h17	45.47132267	1.75	-0.02	40.05	25.03	3.206872199			-4.970120205
SMLS3	12h17	50.46683819	1.68	-5.16	14.01	-10.08	0.289330384			-3.611914849
EGIE3	12h17	45.86295934	1.62	-4.04	29.3	57.5	-4.674228504			-0.162993163
GOLL4	12h17	28.86901563	1.53	13.65	3.15	95.4	4.132132008			2.97539333
RAIL3	12h17	15.03486267	1.42	2.54	9.18	37.28	3.947233865			1.380082263
BRKM5	12h17	39.40598127	1.36	-12.39	-11.65	-8.6	3.343636495			0.148681871
