Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	36.62755682	5.98	-15.63	-23.2	36.74	-4.712609964	0		0.789555436
MGLU3	12h17	173.4714122	4.21	-3.01	3.02	77.65	-3.324410654			-1.890828655
FLRY3	12h17	22.90184318	3.32	-2.41	6.69	-10.96	1.373561145			-0.766671192
VVAR3	12h17	6.26706539	3.05	7.07	0	-26.83	-0.326223277			4.939656528
IRBR3	12h17	100.2540161	2.83	8.7	25.48	121.51	2.548876124			-4.701382844
CVCB3	12h17	34.48838965	2.83	-13.59	-19.79	4.06	-1.768451869			-2.424869319
MRVE3	12h17	12.80250668	2.76	17.92	38.43	54.67	4.287381359			1.170950285
BBDC3	12h17	39.1819795	2.73	0.96	11.17	44.71	3.311456258			4.952109697
PCAR4	12h17	91.51447055	2.72	-10.84	7.13	19.01	-2.332634335			0.325110748
LREN3	12h17	31.9639517	2.69	0.19	11.67	58.64	0.845004321			3.585251994
SANB11	12h17	47.9803617	2.54	-0.56	8.34	39.83	3.859481718			1.296914355
RADL3	12h17	61.71249787	2.54	-2.53	18.23	10.24	-0.212998479			-4.168916531
BBDC4	12h17	15.83601085	2.53	0.19	10.9	50.18	-0.050057828			-0.61754742
B3SA3	12h17	35.70852503	2.51	3.28	33.48	78.99	-0.973335475			-0.906822693
ITUB4	12h17	34.04496987	2.38	0.37	0.58	26.96	0.754141368			3.940461061
ITSA4	12h17	14.97009318	2.33	-0.5	4.12	26.01	-4.169625239			1.17563115
AZUL4	12h17	43.4503495	2.3	9.68	3.58	38.11	-3.395383612			4.706441249
BBAS3	12h17	45.32033459	2.25	4.87	13.65	94.84	-0.833939101			-4.353252469
LAME4	12h17	13.41116562	2.22	-0.57	-20.35	-9.46	3.784410359			-2.996111974
WEGE3	12h17	35.89832219	2.19	0.59	7.3	7.71	4.050440073			2.689021631
BRML3	12h17	-0.467786368	2.14	1.42	-4.05	26.38	-3.79035678			-0.115242072
TAEE11	12h17	9.439833151	2.02	-0.44	10.73	55.35	1.921813244			-2.822117805
IGTA3	12h17	48.61417999	2.02	1.89	-4.38	26	3.152619867			0.535045788
ENBR3	12h17	24.25716826	1.98	8.91	36.45	52.02	0.601215198			0.102026367
SBSP3	12h17	39.6101966	1.83	-9	35.78	66.61	1.418317632			2.746381747
CSAN3	12h17	61.17306492	1.75	-0.02	40.05	25.03	-4.416895633			-4.970120205
SMLS3	12h17	54.90424113	1.68	-5.16	14.01	-10.08	-0.974034262			-3.611914849
EGIE3	12h17	48.918704	1.62	-4.04	29.3	57.5	-2.158753784			-0.162993163
GOLL4	12h17	33.12473923	1.53	13.65	3.15	95.4	-4.798900332			2.97539333
RAIL3	12h17	15.2513372	1.42	2.54	9.18	37.28	-0.609989196			1.380082263
BRKM5	12h17	42.05503707	1.36	-12.39	-11.65	-8.6	-4.456872143			0.148681871
ABEV3	12h17	6.989122144	1.34	-5.52	13.46	-9.1	2.882194609			-4.106447767
MULT3	12h17	15.01302401	1.3	-2.09	-3.03	24.52	2.136563578			2.134626171
BRDT3	12h17	19.77611068	1.26	-1.31	-0.07	58.89	4.962138217			-4.542117952
HYPE3	12h17	45.75340974	1.23	8.12	1.55	16.62	-1.629438483			1.21222516
GOAU4	12h17	5.01821155	1.08	3.05	1.68	8.39	1.681649611			-4.405231032
VALE3	12h17	54.98005917	1.08	1.26	-0.53	2.2	-2.435177621			4.193445151
PETR4	12h17	28.11203979	1.07	-1.88	17.29	63.64	1.893543172			1.536690524
BBSE3	12h17	21.89902049	1.06	4.74	9.88	22.42	2.420316949			4.64774752
ELET3	12h17	45.14538369	1.05	3.18	39.25	141	-2.144042583			-3.640252492
KLBN11	12h17	19.86025104	0.97	-5.15	-0.75	-20.32	1.338380401			1.270901521
GGBR4	12h17	9.635035232	0.94	-0.91	-4.75	-3.35	-2.800601479			3.184501285
BRAP4	12h17	30.640099	0.87	0.11	2.87	2.67	3.718338906			-0.368283005
VIVT4	12h17	52.77848729	0.81	1.96	6.99	18.97	-2.128428734			-0.140139957
