Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	31.05022632	5.98	-15.63	-23.2	36.74	4.204351839	0		0.789555436
MGLU3	12h17	183.279727	4.21	-3.01	3.02	77.65	4.018266701			-1.890828655
FLRY3	12h17	22.88404418	3.32	-2.41	6.69	-10.96	2.513627479			-0.766671192
VVAR3	12h17	8.635138241	3.05	7.07	0	-26.83	-1.896442538			4.939656528
IRBR3	12h17	105.9271284	2.83	8.7	25.48	121.51	-0.860706743			-4.701382844
CVCB3	12h17	42.2548093	2.83	-13.59	-19.79	4.06	-2.975778851			-2.424869319
MRVE3	12h17	15.61078819	2.76	17.92	38.43	54.67	-0.524146121			1.170950285
BBDC3	12h17	39.91980275	2.73	0.96	11.17	44.71	-3.083347241			4.952109697
PCAR4	12h17	86.53062567	2.72	-10.84	7.13	19.01	-3.085187386			0.325110748
LREN3	12h17	32.34518381	2.69	0.19	11.67	58.64	-1.996774795			3.585251994
SANB11	12h17	56.00488451	2.54	-0.56	8.34	39.83	0.039262008			1.296914355
RADL3	12h17	60.86179134	2.54	-2.53	18.23	10.24	1.13890576			-4.168916531
BBDC4	12h17	26.53553861	2.53	0.19	10.9	50.18	-1.765966055			-0.61754742
B3SA3	12h17	32.21056612	2.51	3.28	33.48	78.99	-2.610739403			-0.906822693
ITUB4	12h17	37.75712494	2.38	0.37	0.58	26.96	-3.821204568			3.940461061
ITSA4	12h17	10.77177535	2.33	-0.5	4.12	26.01	-4.813641636			1.17563115
AZUL4	12h17	37.77044748	2.3	9.68	3.58	38.11	-3.255012508			4.706441249
BBAS3	12h17	48.70362112	2.25	4.87	13.65	94.84	-3.438499968			-4.353252469
LAME4	12h17	11.74094213	2.22	-0.57	-20.35	-9.46	-3.601961313			-2.996111974
WEGE3	12h17	22.41503199	2.19	0.59	7.3	7.71	3.5425426			2.689021631
BRML3	12h17	13.19181346	2.14	1.42	-4.05	26.38	3.460542696			-0.115242072
TAEE11	12h17	17.7196462	2.02	-0.44	10.73	55.35	-4.034317547			-2.822117805
IGTA3	12h17	31.17447867	2.02	1.89	-4.38	26	2.701547368			0.535045788
ENBR3	12h17	19.06043269	1.98	8.91	36.45	52.02	-1.580005167			0.102026367
SBSP3	12h17	48.49237267	1.83	-9	35.78	66.61	-1.048199571			2.746381747
CSAN3	12h17	50.46052609	1.75	-0.02	40.05	25.03	-2.926808124			-4.970120205
SMLS3	12h17	53.52933271	1.68	-5.16	14.01	-10.08	-4.759898884			-3.611914849
EGIE3	12h17	55.60903816	1.62	-4.04	29.3	57.5	-0.012637669			-0.162993163
GOLL4	12h17	29.65838095	1.53	13.65	3.15	95.4	3.485414635			2.97539333
RAIL3	12h17	9.911803557	1.42	2.54	9.18	37.28	-4.706432596			1.380082263
BRKM5	12h17	43.51246409	1.36	-12.39	-11.65	-8.6	2.698153001			0.148681871
ABEV3	12h17	11.05501621	1.34	-5.52	13.46	-9.1	1.039652787			-4.106447767
MULT3	12h17	24.46129448	1.3	-2.09	-3.03	24.52	4.992963489			2.134626171
BRDT3	12h17	29.61413716	1.26	-1.31	-0.07	58.89	1.583192879			-4.542117952
HYPE3	12h17	32.29301319	1.23	8.12	1.55	16.62	4.372611819			1.21222516
GOAU4	12h17	12.70445094	1.08	3.05	1.68	8.39	4.048308356			-4.405231032
VALE3	12h17	47.49516717	1.08	1.26	-0.53	2.2	1.11608207			4.193445151
PETR4	12h17	27.88459667	1.07	-1.88	17.29	63.64	4.427147073			1.536690524
BBSE3	12h17	21.01520961	1.06	4.74	9.88	22.42	-0.953162796			4.64774752
ELET3	12h17	40.58487602	1.05	3.18	39.25	141	-4.862138369			-3.640252492
KLBN11	12h17	14.89592375	0.97	-5.15	-0.75	-20.32	-2.742196196			1.270901521
GGBR4	12h17	9.270520408	0.94	-0.91	-4.75	-3.35	3.519685009			3.184501285
BRAP4	12h17	33.68688722	0.87	0.11	2.87	2.67	3.581184475			-0.368283005
VIVT4	12h17	48.23347982	0.81	1.96	6.99	18.97	1.176808795			-0.140139957
NATU3	12h17	65.75846771	0.8	18.38	38.18	85.61	1.629853925			-2.287597011
RENT3	12h17	36.52899609	0.78	3.65	26.49	58.67	0.712094243			-2.717707012
CCRO3	12h17	4.675287791	0.76	16.17	21.26	39.28	-4.440709822			-0.111396387
CMIG4	12h17	4.057534645	0.73	-3.3	2.84	97.66	4.659784742			-4.791007543
USIM5	12h17	9.841890258	0.73	-3.94	-8.67	0.84	1.335616156			2.249785602
BRFS3	12h17	27.67499784	0.7	2.16	44.64	44.18	3.061612607			0.959970064
EQTL3	12h17	81.97283433	0.7	1.74	12.03	40.45	0.16263089			2.743053083
PETR3	12h17	36.35835459	0.63	-3.2	14.25	47.8	2.051688828			-4.022950193
ELET6	12h17	37.76306366	0.61	0.78	23.96	113.58	1.462412179			-3.782131516
JBSS3	12h17	24.74468605	0.58	14.53	95.36	139.35	4.46233008			-4.846641629
SUZB3	12h17	31.43024367	0.49	-15.1	-8.2	-22.31	-0.587209949			-2.398799846
EMBR3	12h17	7.963087275	0.43	-3.77	-12.82	-15.28	1.401870857			4.10530014
CYRE3	12h17	13.96806674	0.42	-5.23	8.92	52.01	-3.5500403			-1.914651809
CIEL3	12h17	8.421544101	0.41	-5.21	-15.7	-51.7	3.830522303			1.878032535
ESTC3	12h17	41.32079541	0.34	8.35	26.9	31.05	2.466388454			-2.897478353
TIMP3	12h17	1.068359741	0.28	-8.13	-8.18	-14.82	0.238605979			-0.867662127
QUAL3	12h17	22.83173627	0.2	13.78	51.82	9.91	-0.603256019			4.590268635
UGPA3	12h17	16.87763001	0.2	-6.24	-24.99	-14.27	1.247535891			-1.40098665
KROT3	12h17	17.19747777	0.2	3.22	13.73	-4.43	2.947209711			3.888981729
MRFG3	12h17	11.98127124	0	-3.28	29.67	-12.27	-1.630108694			0.885624636
ECOR3	12h17	14.57911618	-0.55	11.34	-3.73	25.79	-3.735889717			2.721446386
CSNA3	12h17	9.961584586	-1.87	28.87	111.97	154.94	-2.588989259			3.484481641
