Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	36.46164192	5.98	-15.63	-23.2	36.74	2.469410086	0		0.789555436
MGLU3	12h17	171.7932434	4.21	-3.01	3.02	77.65	-0.201136191			-1.890828655
FLRY3	12h17	26.66430258	3.32	-2.41	6.69	-10.96	-4.988027491			-0.766671192
VVAR3	12h17	2.271297492	3.05	7.07	0	-26.83	-3.120242265			4.939656528
IRBR3	12h17	103.1550118	2.83	8.7	25.48	121.51	-3.002641372			-4.701382844
CVCB3	12h17	33.51653245	2.83	-13.59	-19.79	4.06	1.557019668			-2.424869319
MRVE3	12h17	10.06647897	2.76	17.92	38.43	54.67	-3.845530487			1.170950285
BBDC3	12h17	39.19058066	2.73	0.96	11.17	44.71	4.20827841			4.952109697
PCAR4	12h17	89.9586479	2.72	-10.84	7.13	19.01	1.690518104			0.325110748
LREN3	12h17	36.79500082	2.69	0.19	11.67	58.64	0.289096706			3.585251994
SANB11	12h17	44.54794597	2.54	-0.56	8.34	39.83	-3.359914208			1.296914355
RADL3	12h17	60.99188024	2.54	-2.53	18.23	10.24	-0.672933654			-4.168916531
BBDC4	12h17	17.57103324	2.53	0.19	10.9	50.18	-0.801981821			-0.61754742
B3SA3	12h17	37.91873915	2.51	3.28	33.48	78.99	4.372657953			-0.906822693
ITUB4	12h17	30.89010757	2.38	0.37	0.58	26.96	0.090178002			3.940461061
ITSA4	12h17	10.47667057	2.33	-0.5	4.12	26.01	-3.169295172			1.17563115
AZUL4	12h17	48.15400587	2.3	9.68	3.58	38.11	2.69981609			4.706441249
BBAS3	12h17	46.81379784	2.25	4.87	13.65	94.84	-2.105807888			-4.353252469
LAME4	12h17	8.947140469	2.22	-0.57	-20.35	-9.46	-3.115769915			-2.996111974
WEGE3	12h17	35.58615057	2.19	0.59	7.3	7.71	-2.550171898			2.689021631
BRML3	12h17	-0.144150147	2.14	1.42	-4.05	26.38	1.970213711			-0.115242072
TAEE11	12h17	11.51450432	2.02	-0.44	10.73	55.35	2.046064703			-2.822117805
IGTA3	12h17	45.86396595	2.02	1.89	-4.38	26	3.826905086			0.535045788
ENBR3	12h17	31.27368678	1.98	8.91	36.45	52.02	-4.453730298			0.102026367
SBSP3	12h17	47.58370637	1.83	-9	35.78	66.61	3.692959219			2.746381747
CSAN3	12h17	64.4936888	1.75	-0.02	40.05	25.03	-0.123496793			-4.970120205
SMLS3	12h17	48.39962183	1.68	-5.16	14.01	-10.08	1.953167017			-3.611914849
EGIE3	12h17	50.64736073	1.62	-4.04	29.3	57.5	4.896178668			-0.162993163
GOLL4	12h17	36.62046358	1.53	13.65	3.15	95.4	0.295172706			2.97539333
RAIL3	12h17	10.1628503	1.42	2.54	9.18	37.28	-4.031787445			1.380082263
BRKM5	12h17	36.49312601	1.36	-12.39	-11.65	-8.6	-3.994265578			0.148681871
ABEV3	12h17	7.962993102	1.34	-5.52	13.46	-9.1	-4.977916244			-4.106447767
MULT3	12h17	12.36726149	1.3	-2.09	-3.03	24.52	1.161733374			2.134626171
BRDT3	12h17	12.5198178	1.26	-1.31	-0.07	58.89	-1.575168597			-4.542117952
HYPE3	12h17	41.71685348	1.23	8.12	1.55	16.62	3.490013539			1.21222516
GOAU4	12h17	2.3664871	1.08	3.05	1.68	8.39	-1.182916791			-4.405231032
VALE3	12h17	53.20625915	1.08	1.26	-0.53	2.2	3.493198156			4.193445151
PETR4	12h17	25.59778509	1.07	-1.88	17.29	63.64	-0.867046325			1.536690524
BBSE3	12h17	29.31272055	1.06	4.74	9.88	22.42	-0.294580632			4.64774752
ELET3	12h17	46.72498196	1.05	3.18	39.25	141	2.636950588			-3.640252492
KLBN11	12h17	24.53894935	0.97	-5.15	-0.75	-20.32	3.788413059			1.270901521
GGBR4	12h17	11.78048374	0.94	-0.91	-4.75	-3.35	-2.68648968			3.184501285
BRAP4	12h17	28.35113935	0.87	0.11	2.87	2.67	-0.094512051			-0.368283005
VIVT4	12h17	54.73154201	0.81	1.96	6.99	18.97	4.406013645			-0.140139957
NATU3	12h17	64.69576476	0.8	18.38	38.18	85.61	3.505243848			-2.287597011
RENT3	12h17	34.59642054	0.78	3.65	26.49	58.67	-4.889449871			-2.717707012
CCRO3	12h17	2.705853326	0.76	16.17	21.26	39.28	0.658553571			-0.111396387
CMIG4	12h17	5.670743363	0.73	-3.3	2.84	97.66	3.448739226			-4.791007543
USIM5	12h17	11.48875743	0.73	-3.94	-8.67	0.84	-4.540341956			2.249785602
BRFS3	12h17	33.03855572	0.7	2.16	44.64	44.18	0.187440378			0.959970064
EQTL3	12h17	76.18362636	0.7	1.74	12.03	40.45	2.471329502			2.743053083
PETR3	12h17	42.85022158	0.63	-3.2	14.25	47.8	-3.764351208			-4.022950193
ELET6	12h17	38.70533932	0.61	0.78	23.96	113.58	-4.506080132			-3.782131516
JBSS3	12h17	20.60318616	0.58	14.53	95.36	139.35	-0.655922892			-4.846641629
SUZB3	12h17	34.16283185	0.49	-15.1	-8.2	-22.31	4.818536248			-2.398799846
EMBR3	12h17	8.352742529	0.43	-3.77	-12.82	-15.28	2.489481969			4.10530014
CYRE3	12h17	18.58505736	0.42	-5.23	8.92	52.01	-2.973839768			-1.914651809
CIEL3	12h17	1.924312013	0.41	-5.21	-15.7	-51.7	0.130005341			1.878032535
ESTC3	12h17	45.46825809	0.34	8.35	26.9	31.05	-2.909877783			-2.897478353
TIMP3	12h17	12.87028882	0.28	-8.13	-8.18	-14.82	-0.238088222			-0.867662127
QUAL3	12h17	13.30269529	0.2	13.78	51.82	9.91	-4.572616526			4.590268635
UGPA3	12h17	2.686376833	0.2	-6.24	-24.99	-14.27	-2.951352908			-1.40098665
KROT3	12h17	19.49644231	0.2	3.22	13.73	-4.43	-0.66708762			3.888981729
MRFG3	12h17	1.641557099	0	-3.28	29.67	-12.27	1.059349227			0.885624636
ECOR3	12h17	10.40056297	-0.55	11.34	-3.73	25.79	4.787504121			2.721446386
CSNA3	12h17	10.91629712	-1.87	28.87	111.97	154.94	0.941476585			3.484481641
