Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	34.90227499	5.98	-15.63	-23.2	36.74	-3.897148236	0		0.789555436
MGLU3	12h17	185.4097242	4.21	-3.01	3.02	77.65	-2.504448531			-1.890828655
FLRY3	12h17	23.13006276	3.32	-2.41	6.69	-10.96	1.821528654			-0.766671192
VVAR3	12h17	10.21200339	3.05	7.07	0	-26.83	-0.89896739			4.939656528
IRBR3	12h17	105.5410899	2.83	8.7	25.48	121.51	-0.493010144			-4.701382844
CVCB3	12h17	41.05906863	2.83	-13.59	-19.79	4.06	-0.660712765			-2.424869319
MRVE3	12h17	11.35870339	2.76	17.92	38.43	54.67	1.403989042			1.170950285
BBDC3	12h17	43.59611161	2.73	0.96	11.17	44.71	2.045559466			4.952109697
PCAR4	12h17	84.40016329	2.72	-10.84	7.13	19.01	4.382552284			0.325110748
LREN3	12h17	36.02499666	2.69	0.19	11.67	58.64	3.481386038			3.585251994
SANB11	12h17	55.19521719	2.54	-0.56	8.34	39.83	-2.025298121			1.296914355
RADL3	12h17	56.5382181	2.54	-2.53	18.23	10.24	-2.338172922			-4.168916531
BBDC4	12h17	30.52784117	2.53	0.19	10.9	50.18	-0.874950833			-0.61754742
B3SA3	12h17	30.15778033	2.51	3.28	33.48	78.99	-3.312525726			-0.906822693
ITUB4	12h17	36.15177763	2.38	0.37	0.58	26.96	3.222612192			3.940461061
ITSA4	12h17	6.557040426	2.33	-0.5	4.12	26.01	2.760717646			1.17563115
AZUL4	12h17	40.69494733	2.3	9.68	3.58	38.11	-0.569787201			4.706441249
BBAS3	12h17	53.07603012	2.25	4.87	13.65	94.84	-0.158371996			-4.353252469
LAME4	12h17	14.03243612	2.22	-0.57	-20.35	-9.46	4.283141757			-2.996111974
WEGE3	12h17	17.94899281	2.19	0.59	7.3	7.71	-1.170248667			2.689021631
BRML3	12h17	16.38856955	2.14	1.42	-4.05	26.38	2.422636351			-0.115242072
TAEE11	12h17	14.75688419	2.02	-0.44	10.73	55.35	-4.086994755			-2.822117805
IGTA3	12h17	28.68148912	2.02	1.89	-4.38	26	-3.191709754			0.535045788
ENBR3	12h17	21.16685549	1.98	8.91	36.45	52.02	-4.914130008			0.102026367
SBSP3	12h17	44.0675109	1.83	-9	35.78	66.61	3.529042886			2.746381747
CSAN3	12h17	49.44926552	1.75	-0.02	40.05	25.03	-4.563369377			-4.970120205
SMLS3	12h17	50.4804975	1.68	-5.16	14.01	-10.08	2.581989445			-3.611914849
EGIE3	12h17	52.4499902	1.62	-4.04	29.3	57.5	4.882855457			-0.162993163
GOLL4	12h17	27.4455409	1.53	13.65	3.15	95.4	0.001191583			2.97539333
RAIL3	12h17	13.81401301	1.42	2.54	9.18	37.28	-1.577243561			1.380082263
BRKM5	12h17	40.84878096	1.36	-12.39	-11.65	-8.6	2.651693834			0.148681871
ABEV3	12h17	15.30023902	1.34	-5.52	13.46	-9.1	1.728212157			-4.106447767
MULT3	12h17	29.44112202	1.3	-2.09	-3.03	24.52	-1.615362316			2.134626171
BRDT3	12h17	33.44440562	1.26	-1.31	-0.07	58.89	1.354088624			-4.542117952
HYPE3	12h17	34.04600375	1.23	8.12	1.55	16.62	-2.550261935			1.21222516
GOAU4	12h17	8.41433244	1.08	3.05	1.68	8.39	-4.246472324			-4.405231032
VALE3	12h17	44.70195281	1.08	1.26	-0.53	2.2	-3.670001544			4.193445151
PETR4	12h17	28.71481321	1.07	-1.88	17.29	63.64	2.565390023			1.536690524
BBSE3	12h17	23.235289	1.06	4.74	9.88	22.42	1.845072007			4.64774752
ELET3	12h17	40.14203558	1.05	3.18	39.25	141	3.866158081			-3.640252492
KLBN11	12h17	14.57854802	0.97	-5.15	-0.75	-20.32	2.471868812			1.270901521
GGBR4	12h17	13.36351946	0.94	-0.91	-4.75	-3.35	4.17775459			3.184501285
BRAP4	12h17	35.56556768	0.87	0.11	2.87	2.67	2.408872569			-0.368283005
VIVT4	12h17	45.63422575	0.81	1.96	6.99	18.97	-3.754517551			-0.140139957
NATU3	12h17	62.89866761	0.8	18.38	38.18	85.61	2.99138006			-2.287597011
RENT3	12h17	31.65385329	0.78	3.65	26.49	58.67	3.067165156			-2.717707012
CCRO3	12h17	5.501121381	0.76	16.17	21.26	39.28	-1.951091147			-0.111396387
CMIG4	12h17	4.601061922	0.73	-3.3	2.84	97.66	2.584623082			-4.791007543
USIM5	12h17	6.36086861	0.73	-3.94	-8.67	0.84	2.632237874			2.249785602
BRFS3	12h17	30.82211806	0.7	2.16	44.64	44.18	-2.160557515			0.959970064
EQTL3	12h17	79.91864913	0.7	1.74	12.03	40.45	-4.81043716			2.743053083
PETR3	12h17	32.73891554	0.63	-3.2	14.25	47.8	1.722632977			-4.022950193
ELET6	12h17	36.21782706	0.61	0.78	23.96	113.58	-4.067155751			-3.782131516
JBSS3	12h17	27.25739078	0.58	14.53	95.36	139.35	-3.190544518			-4.846641629
SUZB3	12h17	33.35924406	0.49	-15.1	-8.2	-22.31	-3.077391172			-2.398799846
EMBR3	12h17	12.68594942	0.43	-3.77	-12.82	-15.28	1.013597197			4.10530014
CYRE3	12h17	16.02395192	0.42	-5.23	8.92	52.01	4.788144542			-1.914651809
CIEL3	12h17	12.96818402	0.41	-5.21	-15.7	-51.7	2.870747254			1.878032535
ESTC3	12h17	36.93409408	0.34	8.35	26.9	31.05	-3.017114722			-2.897478353
TIMP3	12h17	2.558915097	0.28	-8.13	-8.18	-14.82	-3.28034814			-0.867662127
QUAL3	12h17	19.98563565	0.2	13.78	51.82	9.91	1.02000259			4.590268635
UGPA3	12h17	20.2464198	0.2	-6.24	-24.99	-14.27	-2.383543414			-1.40098665
KROT3	12h17	13.74952269	0.2	3.22	13.73	-4.43	2.124633335			3.888981729
MRFG3	12h17	10.95529133	0	-3.28	29.67	-12.27	-1.954319026			0.885624636
ECOR3	12h17	12.40138522	-0.55	11.34	-3.73	25.79	0.249107452			2.721446386
CSNA3	12h17	11.10491053	-1.87	28.87	111.97	154.94	0.772348797			3.484481641
